name,country,span,matches,innings,not_out,runs,highest_score,average,balls_faced,strike_rate,100s,50s,duck,4s,6s
G Caisley,BRA,2019-2019,4,4,0,52,38,13.00,59,88.13,0,0,1,3,2
Faisal Mehmood,Belg,2021-2023,5,5,0,52,23,10.40,47,110.63,0,0,1,6,2
BC Fortuin,SA,2019-2023,17,10,3,52,17*,7.42,46,113.04,0,0,2,8,0
RP Magar,NEP,2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
ML Maiava,Samoa,2023-2023,3,3,0,52,34,17.33,50,104.00,0,0,0,3,0
BAD Manenti,ITA,2023-2023,5,5,0,52,22,10.40,43,120.93,0,0,1,7,2
Ovais Yousof,NGA,2019-2019,3,3,0,52,33,17.33,70,74.28,0,0,0,5,0
H Rathod,QAT,2023-2023,5,3,0,52,23,17.33,50,104.00,0,0,0,3,1
IS Billcliff,CAN,2010-2010,2,2,0,51,37,25.50,39,130.76,0,0,0,3,2
TGJ Gruijters,NED,2012-2013,8,5,3,51,21*,25.50,47,108.51,0,0,0,3,1
AE Isesele,NGA,2022-2022,7,6,3,51,44,17.00,38,134.21,0,0,0,5,3
Junaid Siddiqui,CAN,2012-2022,20,8,3,51,21,10.20,45,113.33,0,0,1,2,2
S Kushretha,LUX,2020-2022,9,6,0,51,28,8.50,59,86.44,0,0,1,3,0
PWA Mulder,SA,2021-2021,5,3,1,51,36,25.50,44,115.90,0,0,0,3,2
Raqibul Hasan,BAN,2008-2010,5,5,0,51,18,10.20,62,82.25,0,0,0,3,1
J Reb,SRB,2019-2021,6,6,0,51,19,8.50,60,85.00,0,0,0,3,2
Sahel Zadran,Aut,2021-2023,28,14,4,51,19,5.10,58,87.93,0,0,4,2,2
Shafat Ali Syed,ESP,2023-2023,5,2,0,51,51,25.50,24,212.50,0,1,1,2,6
Sohail Ahmad,CRT,2022-2023,9,6,0,51,20,8.50,52,98.07,0,0,0,1,3
Sohel Patel,PNM,2023-2023,4,4,0,51,22,12.75,58,87.93,0,0,0,6,0
DC Thomas,WI,2009-2022,12,8,2,51,31*,8.50,54,94.44,0,0,0,4,2
HA Varaiya,KENYA,2007-2013,25,12,11,51,18*,51.00,81,62.96,0,0,0,1,0
JM Vujnovich,CRT,2022-2022,5,5,1,51,20,12.75,98,52.04,0,0,1,2,0
W Wotu,VAN,2022-2023,7,5,1,51,24,12.75,44,115.90,0,0,0,2,4
Z Arinaitwe,UGA,2019-2020,6,6,0,50,15,8.33,60,83.33,0,0,0,8,1
SG Diaby,Mali,2022-2022,6,4,1,50,41*,16.66,44,113.63,0,0,1,2,3
T Filer,EST,2021-2021,5,5,0,50,38,10.00,55,90.90,0,0,3,4,1
R Fox,Bhm,2022-2022,4,4,2,50,24*,25.00,44,113.63,0,0,1,4,2
Hamid Hassan,AFG,2010-2021,25,9,6,50,22,16.66,46,108.69,0,0,0,3,2
Iftekar Jaman,CYP,2021-2022,5,4,1,50,22,16.66,36,138.88,0,0,0,3,4
Md Nurul Huda,Fin,2019-2019,5,4,2,50,30*,25.00,32,156.25,0,0,0,4,2
Mohammad Yousuf,PAK,2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
A Nanda,LUX,2019-2023,24,11,2,50,21*,5.55,55,90.90,0,0,2,2,2
B Niaz,Belg,2021-2023,10,7,1,50,22,8.33,125,40.00,0,0,3,2,0
M Ozturk,TKY,2022-2023,8,6,0,50,21,8.33,77,64.93,0,0,0,2,3
M Whelan,GIBR,2022-2022,9,5,1,50,27,12.50,45,111.11,0,0,0,3,1
Aslam Khan,MAL,2022-2023,6,5,1,49,26*,12.25,40,122.50,0,0,1,1,4
U Bhatti,CAN,2008-2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1
J Coetzee,THAI,2023-2023,4,2,0,49,40,24.50,41,119.51,0,0,0,3,1
Darwish Rasooli,AFG,2022-2022,5,5,2,49,15,16.33,56,87.50,0,0,0,3,1
RM Dorji,BHU,2019-2022,7,7,0,49,27,7.00,79,62.02,0,0,1,1,4
KA Jamieson,NZ,2020-2023,13,5,3,49,30,24.50,33,148.48,0,0,0,7,0
CU Jayasinghe,SL,2009-2010,5,3,2,49,38,49.00,49,100.00,0,0,0,3,1
Jordan O'Brien,Fin,2023-2023,6,6,0,49,18,8.16,66,74.24,0,0,1,3,2
Jubaid Ahamed,Fran,2021-2022,9,8,3,49,13,9.80,46,106.52,0,0,1,2,2
A Khan,DEN/ENG,2009-2022,9,7,0,49,16,7.00,54,90.74,0,0,0,2,1
HG Kuhn,SA,2009-2017,7,6,2,49,29,12.25,42,116.66,0,0,0,3,2
P Magafas,GRC,2022-2022,4,3,0,49,30,16.33,50,98.00,0,0,0,5,0
J Marples,GIBR,2021-2022,19,8,3,49,16,9.80,61,80.32,0,0,0,3,0
I Master,BOT,2019-2022,6,6,1,49,40,9.80,51,96.07,0,0,1,3,0
SR Mohan,SEY,2021-2022,10,7,3,49,20,12.25,67,73.13,0,0,2,4,0
Y Naing Tun,MYAN,2023-2023,4,4,0,49,19,12.25,80,61.25,0,0,0,5,1
Nanda Kumar,CRC,2019-2019,3,3,0,49,39,16.33,58,84.48,0,0,1,3,2
Naseem Khan,CRT,2022-2023,8,5,0,49,27,9.80,56,87.50,0,0,0,5,2
SD Outerbridge,BMUDA,2008-2008,3,3,1,49,37*,24.50,51,96.07,0,0,0,2,1
E Packard,GIBR,2019-2021,8,7,0,49,26,7.00,73,67.12,0,0,0,3,1
DA Rankin,IRE,2015-2016,2,2,0,49,34,24.50,54,90.74,0,0,0,3,2
CP Turkich,CRT,2022-2022,5,5,0,49,16,9.80,101,48.51,0,0,1,2,0
K Weeraratne,SL,2008-2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1
Abdur Rahman Sudais,SWE,2023-2023,4,3,0,48,42,16.00,51,94.11,0,0,0,5,0
AN Aminou,CAM,2022-2022,9,8,1,48,22,6.85,42,114.28,0,0,3,1,4
D Ferreira,SA,2023-2023,1,1,0,48,48,48.00,21,228.57,0,0,0,1,5
Ghulam Ahmadi,GER,2021-2023,41,13,12,48,15*,48.00,42,114.28,0,0,0,4,0
Hashmatullah Shahidi,AFG,2013-2022,6,4,2,48,36,24.00,55,87.27,0,0,0,5,0
Maqsood Ahmad,Belg,2021-2022,6,5,1,48,29,12.00,49,97.95,0,0,0,6,0
A Modi,SGP,2022-2022,7,6,1,48,24,9.60,78,61.53,0,0,1,1,0
Muhammad Nadeem,KSA,2019-2019,5,3,0,48,43,16.00,49,97.95,0,0,0,7,1
MIA Patel,MWI,2019-2019,3,2,1,48,40*,48.00,44,109.09,0,0,0,6,1
Qalandar Khan,QAT,2019-2019,4,3,0,48,25,16.00,43,111.62,0,0,0,2,3
Shaheen Shah Afridi,PAK,2018-2023,52,10,4,48,16,8.00,40,120.00,0,0,1,4,2
A Zampa,AUS,2016-2023,73,16,8,48,13*,6.00,58,82.75,0,0,3,4,0
V Zanko,CRT,2023-2023,6,5,0,48,16,9.60,112,42.85,0,0,1,6,0
C Zhuwao,ZIM,2008-2018,7,7,0,48,24,6.85,66,72.72,0,0,4,7,1
M Aboagye,Ghana,2019-2019,3,3,1,47,24,23.50,53,88.67,0,0,0,3,0
RDB Ahir,PNM,2023-2023,4,4,1,47,21,15.66,34,138.23,0,0,1,3,2
K Gore,USA,2019-2021,8,3,1,47,31,23.50,28,167.85,0,0,0,4,2
IG Holland,USA,2021-2021,6,3,1,47,39*,23.50,52,90.38,0,0,0,4,0
H Ivanov,BUL,2019-2021,13,8,1,47,15,6.71,51,92.15,0,0,2,3,1
AB Kamara,SLE,2021-2021,9,7,2,47,10*,9.40,70,67.14,0,0,1,2,0
N Krishna,SEY,2021-2022,13,9,1,47,20,5.87,68,69.11,0,0,1,6,0
D Uwimana,RWN,2021-2021,6,5,3,47,16*,23.50,69,68.11,0,0,0,5,0
D Weston,GER,2019-2019,6,6,0,47,18,7.83,54,87.03,0,0,2,5,1
Zahid Khan,SLE,2021-2022,10,8,0,47,27,5.87,61,77.04,0,0,1,4,1
Ali Zaheer,KUW,2022-2023,6,5,2,46,13*,15.33,55,83.63,0,0,0,4,0
CA Brown,Blz,2021-2021,4,4,0,46,27,11.50,61,75.40,0,0,0,6,0
Chaudhary Akram,NOR,2023-2023,2,2,0,46,36,23.00,62,74.19,0,0,0,3,0
KM Dabengwa,ZIM,2006-2010,8,7,3,46,16*,11.50,40,115.00,0,0,0,4,2
K Gupta,Chile,2019-2019,4,4,1,46,19*,15.33,64,71.87,0,0,1,1,0
JW Hastings,AUS,2010-2016,9,6,2,46,15,11.50,37,124.32,0,0,0,3,1
MM Iqbal,SCOT,2012-2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1
Kuldeep Yadav,IND,2017-2023,32,7,3,46,23*,11.50,59,77.96,0,0,2,2,0
KC Ramamoorthy,INA,2022-2022,7,7,0,46,14,6.57,70,65.71,0,0,2,5,0
RA Reifer,WI,2022-2023,3,2,0,46,27,23.00,41,112.19,0,0,0,1,2
Syazrul Idrus,MAL,2019-2023,28,12,5,46,10,6.57,50,92.00,0,0,4,3,2
HER Tyler,PHI,2019-2023,9,8,0,46,23,5.75,69,66.66,0,0,2,4,0
JJ van der Wath,SA,2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1
KA Vimlesh,ROM,2023-2023,2,2,0,46,39,23.00,48,95.83,0,0,0,5,0
Abdullah Jasat,PNM,2021-2023,8,8,1,45,17*,6.42,39,115.38,0,0,2,4,2
Abdullah Shahid,MDV,2022-2022,3,3,0,45,34,15.00,56,80.35,0,0,0,4,1
S Ateak,Ghana,2019-2019,3,3,0,45,26,15.00,48,93.75,0,0,0,6,1
L Gregory,ENG,2019-2021,9,7,1,45,15,7.50,41,109.75,0,0,1,2,2
Haseeb Amjad,HKG,2014-2016,18,10,6,45,12*,11.25,45,100.00,0,0,0,3,1
J Henry,STHEL,2022-2022,7,5,0,45,17,9.00,45,100.00,0,0,0,1,2
MG Hunter,GIBR,2019-2019,4,3,0,45,27,15.00,61,73.77,0,0,0,2,1
J Jojo,DEN,2019-2022,13,8,4,45,13,11.25,33,136.36,0,0,1,2,1
TE Kane,IRE,2015-2023,9,4,1,45,26*,15.00,34,132.35,0,0,0,6,0
FJ Klaassen,NED,2018-2022,37,15,5,45,13,4.50,53,84.90,0,0,4,2,0
AR Leo,STHEL,2022-2022,7,5,0,45,24,9.00,60,75.00,0,0,1,3,0
NJ Maddinson,AUS,2013-2018,6,4,0,45,34,11.25,35,128.57,0,0,0,6,1
A Manepalli,LUX,2020-2022,7,6,1,45,22,9.00,49,91.83,0,0,0,2,1
Mohammad Wasim,1,2021-2023,27,10,6,45,12*,11.25,50,90.00,0,0,1,5,1
JWN Moses,BOT,2019-2021,7,6,0,45,20,7.50,50,90.00,0,0,0,4,1
Parvindar Kumar,KUW,2023-2023,4,3,1,45,19,22.50,32,140.62,0,0,0,2,3
JA Richardson,AUS,2017-2022,18,8,5,45,11,15.00,51,88.23,0,0,1,3,1
Saeed Ahmed,SWE,2023-2023,5,4,0,45,18,11.25,46,97.82,0,0,1,3,2
A Sharafu,UAE,2020-2023,9,6,2,45,12,11.25,42,107.14,0,0,0,1,3
K Suttisan,THAI,2019-2023,4,4,0,45,26,11.25,55,81.81,0,0,1,5,0
Yasar Haroon,BRA,2019-2019,4,4,0,45,29,11.25,62,72.58,0,0,0,4,1
Aryan Lakra,UAE,2022-2022,5,5,0,44,19,8.80,46,95.65,0,0,0,2,2
Atif Kamal,LUX,2019-2022,15,10,2,44,12,5.50,58,75.86,0,0,4,2,1
Atif Mehmood,ESP,2019-2023,23,7,5,44,15,22.00,44,100.00,0,0,0,2,2
A Conteh,GAMBI,2022-2022,7,7,0,44,9,6.28,76,57.89,0,0,1,4,0
JM Davison,CAN,2008-2010,5,5,0,44,19,8.80,40,110.00,0,0,2,2,3
Huzaifa Mohammed,PHI,2022-2023,11,6,4,44,23,22.00,69,63.76,0,0,0,2,0
Ismat Ullah,BRA,2019-2019,4,4,0,44,42,11.00,47,93.61,0,0,1,4,1
Muhammad Murad,QAT,2021-2023,9,6,2,44,14,11.00,46,95.65,0,0,1,0,4
Omar Hussain,LES,2021-2021,6,6,0,44,33,7.33,54,81.48,0,0,2,4,1
Saad Nasim,PAK,2014-2014,3,2,0,44,25,22.00,53,83.01,0,0,0,0,1
P Arrighi,Arg,2019-2023,8,6,0,43,18,7.16,77,55.84,0,0,1,1,0
S Badree,WI/World,2012-2018,52,16,10,43,14*,7.16,65,66.15,0,0,0,1,1
S Badrinath,IND,2011-2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0
TL Chatara,ZIM,2010-2023,50,12,6,43,8,7.16,59,72.88,0,0,2,2,0
TS Chisoro,ZIM,2015-2020,14,7,3,43,14*,10.75,47,91.48,0,0,0,2,2
L Karlsson,SWE,2021-2022,16,7,2,43,14,8.60,45,95.55,0,0,1,3,1
NO Miller,WI,2009-2014,9,5,4,43,15*,43.00,47,91.48,0,0,0,2,0
J Perman,ESP,2019-2021,7,4,1,43,30*,14.33,36,119.44,0,0,0,3,3
SE Rutherford,WI,2018-2020,6,4,0,43,26,10.75,36,119.44,0,0,0,1,3
Sajad Ahmadzai,Belg,2022-2023,8,7,2,43,13,8.60,35,122.85,0,0,1,2,3
DV Varghese,BUL,2020-2023,31,11,5,43,17,7.16,63,68.25,0,0,1,2,0
Amjad Ali,UAE,2014-2015,5,5,1,42,20,10.50,52,80.76,0,0,0,6,0
Asad Ali Rehemtulla,BUL,2020-2022,16,11,4,42,16,6.00,55,76.36,0,0,3,3,0
F Baaleri,Ghana,2019-2019,4,4,0,42,17,10.50,60,70.00,0,0,0,6,0
J Chaturanga,BHR,2022-2022,4,4,0,42,20,10.50,42,100.00,0,0,1,5,1
M Cope,LUX,2019-2021,10,7,4,42,15*,14.00,45,93.33,0,0,0,5,0
H Fennell,Arg,2019-2023,17,10,3,42,25*,6.00,44,95.45,0,0,4,6,1
SP Guzman,PNM,2021-2021,5,5,0,42,13,8.40,52,80.76,0,0,0,6,1
J Hill,PHI,2019-2023,9,8,1,42,11,6.00,73,57.53,0,0,1,3,0
NG Jones,IRE,2010-2012,5,4,2,42,14*,21.00,38,110.52,0,0,1,1,2
Lakshit Gupta,CAM,2023-2023,3,3,0,42,37,14.00,47,89.36,0,0,0,4,1
Muaviath Ganee,MDV,2019-2019,5,4,0,42,19,10.50,44,95.45,0,0,0,3,1
Nasrulla Rana,HKG,2019-2023,17,10,3,42,17,6.00,61,68.85,0,0,3,0,2
LE Plunkett,ENG,2006-2019,22,11,4,42,18,6.00,34,123.52,0,0,3,3,1
T Rapi,Samoa,2023-2023,3,3,0,42,28,14.00,34,123.52,0,0,0,5,1
AT Rayudu,IND,2014-2016,6,5,1,42,20,10.50,50,84.00,0,0,2,5,0
M Sert,TKY,2019-2019,4,4,1,42,16,14.00,59,71.18,0,0,0,5,0
SD Valjalo,CRT,2022-2022,5,5,1,42,14,10.50,54,77.77,0,0,0,4,0
Abdur Razzak,BAN,2006-2014,34,20,10,41,9,4.10,74,55.40,0,0,5,1,0
Ali Mohammadipour,Iran,2020-2020,3,3,1,41,19,20.50,44,93.18,0,0,0,6,0
S Browne,LUX,2020-2020,4,4,0,41,21,10.25,49,83.67,0,0,1,4,0
P Dhiman,ESP,2022-2022,4,4,0,41,29,10.25,55,74.54,0,0,0,0,1
B Evans,ZIM,2022-2023,8,6,2,41,19,10.25,40,102.50,0,0,0,1,1
Ibrahim Rizan,MDV,2019-2022,18,14,6,41,9*,5.12,65,63.07,0,0,3,3,0
E Jabarkhel,LUX,2023-2023,10,8,2,41,16*,6.83,46,89.13,0,0,1,5,0
K Jethi,CAN,2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2
D Marsic,CRT,2022-2022,5,4,0,41,22,10.25,74,55.40,0,0,1,3,1
ZE Matsinhe,MOZ,2019-2022,22,8,2,41,23,6.83,61,67.21,0,0,1,3,1
S Movva,CAN,2021-2022,4,2,0,41,32,20.50,39,105.12,0,0,0,4,1
K Pala,PNG,2015-2015,2,2,1,41,22*,41.00,30,136.66,0,0,0,4,2
D Sheeli,KUW,2019-2020,5,5,0,41,19,8.20,43,95.34,0,0,0,5,0
Tahir Patel,SWZ,2022-2022,6,6,1,41,15,8.20,76,53.94,0,0,0,5,0
J Theron,SA/USA,2010-2022,18,7,7,41,31*,-,27,151.85,0,0,0,4,1
Walter Behr,GER,2022-2022,8,5,1,41,22,10.25,38,107.89,0,0,0,2,2
Sarfraz Butt,KSA,2020-2023,10,5,1,41,16,10.25,48,85.41,0,0,0,3,0
AD Algar,ESP,2020-2023,6,2,1,40,28,40.00,50,80.00,0,0,0,2,1
Amir Hamza,AFG,2013-2021,33,9,5,40,21,10.00,38,105.26,0,0,1,3,1
BCJ Cutting,AUS/World,2013-2017,7,5,1,40,29,10.00,27,148.14,0,0,1,2,3
Imran Bulbulia,PNM,2019-2019,3,3,0,40,32,13.33,42,95.23,0,0,1,4,1
J Jemison,Bhm,2022-2023,9,7,1,40,13,6.66,65,61.53,0,0,2,1,0
P Malav,LUX,2020-2023,25,11,4,40,10*,5.71,52,76.92,0,0,2,3,0
S Rakshit,CZK-R,2019-2019,6,5,1,40,21,10.00,44,90.90,0,0,1,5,1
KB Ahir,PNM,2019-2023,12,7,7,40,32*,-,43,93.02,0,0,0,5,1
S Ravikumar,CRC,2019-2019,3,3,1,40,29*,20.00,44,90.90,0,0,1,3,1
Sahibzada Farhan,PAK,2018-2018,3,3,0,40,39,13.33,46,86.95,0,0,1,2,3
N Senamontree,THAI,2020-2023,10,7,3,40,14*,10.00,66,60.60,0,0,1,0,0
A Bhadauria,LUX,2022-2022,2,2,0,40,21,20.00,31,129.03,0,0,0,6,0
Tariq Aziz,PORT,2019-2019,4,4,1,40,23,13.33,47,85.10,0,0,1,1,2
S Udhayan,SEY,2021-2022,10,6,1,40,19,8.00,34,117.64,0,0,2,3,2
Umair Tariq,Aut,2021-2023,17,7,1,40,12*,6.66,49,81.63,0,0,0,1,1
P Useni,NGA,2021-2022,21,11,8,40,9,13.33,39,102.56,0,0,0,3,1
KDK Vithanage,SL,2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0
Aamir Lal,SKOR,2022-2022,4,4,0,39,34,9.75,23,169.56,0,0,1,2,4
NK Aneesh Kumar,SUI,2021-2023,17,7,3,39,25,9.75,37,105.40,0,0,1,1,3
JC Darji,TAN,2021-2022,8,7,0,39,16,5.57,55,70.90,0,0,3,5,0
RR David,CAN,2008-2008,4,4,0,39,17,9.75,65,60.00,0,0,0,2,1
Eric Phiri,SWZ,2022-2022,11,9,0,39,10,4.33,55,70.90,0,0,0,5,0
Fayaz Khan,GER,2021-2023,9,6,2,39,18*,9.75,30,130.00,0,0,2,3,2
CK Jasmat,Samoa,2022-2022,6,5,0,39,18,7.80,37,105.40,0,0,0,3,1
CA Keita,Mali,2022-2022,7,5,0,39,35,7.80,51,76.47,0,0,3,4,2
Munir Dar,HKG,2014-2014,2,2,0,39,36,19.50,33,118.18,0,0,0,3,1
Qamar Mushtaque,NOR,2022-2023,10,7,5,39,14*,19.50,26,150.00,0,0,0,2,2
Rafatullah Mohmand,PAK,2015-2015,3,3,0,39,23,13.00,45,86.66,0,0,1,4,0
S Rossi,Arg,2019-2023,10,9,1,39,13,4.87,43,90.69,0,0,4,2,1
Tayyab Tahir,PAK,2023-2023,3,3,0,39,16,13.00,41,95.12,0,0,0,5,0
S Tobgay,BHU,2019-2019,2,2,0,39,24,19.50,58,67.24,0,0,0,1,0
Yogev Nagavkar,ISR,2022-2022,2,2,0,39,39,19.50,45,86.66,0,0,1,5,0
D Ahir,PNM,2021-2021,5,5,0,38,16,7.60,36,105.55,0,0,2,3,2
RI Ahmed,NED,2015-2015,2,2,0,38,25,19.00,50,76.00,0,0,0,2,0
J Baguma,UGA,2022-2022,13,6,3,38,11*,12.66,49,77.55,0,0,0,3,0
R Flannigan,SCOT,2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0
Imran Haider,ROM,2019-2021,4,3,0,38,19,12.66,40,95.00,0,0,0,4,1
Irfan Sarfraz,KSA,2022-2022,4,3,0,38,18,12.66,55,69.09,0,0,0,2,0
Kashif Abbas,KSA,2023-2023,3,3,0,38,19,12.66,40,95.00,0,0,0,7,0
AK Kitchen,NZ,2017-2018,5,4,1,38,16,12.66,32,118.75,0,0,0,3,1
C Kyewuta,UGA,2021-2022,19,7,2,38,17,7.60,36,105.55,0,0,1,3,1
BF Mailata,Samoa,2019-2019,4,4,0,38,17,9.50,48,79.16,0,0,0,2,1
Mohammed Sameer,BHR,2020-2020,2,2,0,38,28,19.00,29,131.03,0,0,0,6,1
D Mongia,IND,2006-2006,1,1,0,38,38,38.00,45,84.44,0,0,0,4,1
GBW Munaweera,QAT,2019-2022,23,7,4,38,8,12.66,35,108.57,0,0,1,3,1
F Mutizwa,ZIM,2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0
D Padikkal,IND,2021-2021,2,2,0,38,29,19.00,38,100.00,0,0,0,2,1
H Pragji,BOT,2019-2019,4,4,1,38,30*,12.66,65,58.46,0,0,0,1,0
RK Singh,IND,2023-2023,2,1,0,38,38,38.00,21,180.95,0,0,0,2,3
Usman Khalid,KSA,2021-2021,3,3,0,38,16,12.66,46,82.60,0,0,0,1,2
DS Vosloo,MLT,2021-2021,2,2,1,38,23*,38.00,37,102.70,0,0,0,2,0
BJ Watling,NZ,2009-2014,5,4,0,38,22,9.50,58,65.51,0,0,0,3,0
Zhuang Zelin,CHN,2023-2023,4,4,0,38,33,9.50,54,70.37,0,0,2,2,0
JB Abega,CAM,2021-2022,14,13,0,37,11,2.84,92,40.21,0,0,5,1,0
ASF Sirah,PHI,2023-2023,7,4,1,37,27,12.33,30,123.33,0,0,1,2,1
SJ Benn,WI,2008-2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1
VD Chandra,PNM,2019-2019,3,2,0,37,26,18.50,30,123.33,0,0,0,3,3
BKB Corbin,Caym,2023-2023,3,3,0,37,15,12.33,30,123.33,0,0,0,6,1
Danish Aziz,PAK,2021-2021,2,2,0,37,22,18.50,35,105.71,0,0,0,1,1
I Danladi,NGA,2019-2019,3,2,0,37,37,18.50,38,97.36,0,0,1,4,1
JS Foster,ENG,2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1
RM Hira,NZ,2012-2013,15,3,1,37,20*,18.50,33,112.12,0,0,0,4,1
J Hirschi,MLT,2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0
V Jayant,LES,2022-2022,6,4,0,37,31,9.25,56,66.07,0,0,1,2,1
ML Kostic,SRB,2022-2022,9,7,1,37,15,6.16,45,82.22,0,0,0,5,0
D Manani,ROM,2019-2021,3,2,1,37,19*,37.00,32,115.62,0,0,0,4,1
Salvin Stanly,CAM,2023-2023,3,3,1,37,25*,18.50,24,154.16,0,0,0,1,4
Sarfaraj Patel,LES,2021-2021,6,6,1,37,10*,7.40,55,67.27,0,0,0,2,0
HGV Vare,PNG,2022-2023,8,7,1,37,10,6.16,43,86.04,0,0,1,3,0
Waleed Rana,ITA,2022-2022,3,3,0,37,25,12.33,48,77.08,0,0,0,2,1
BM Wheeler,NZ,2017-2018,6,4,2,37,30,18.50,28,132.14,0,0,0,3,2
Ahsan Ali,PAK,2020-2020,2,2,0,36,36,18.00,39,92.30,0,0,1,4,0
Anas Khan,HKG,2014-2023,5,4,2,36,21*,18.00,57,63.15,0,0,2,2,0
Azeem Nazir,SUI,2022-2022,4,2,0,36,36,18.00,42,85.71,0,0,1,5,0
RJ Campbell,HKG,2016-2016,3,3,0,36,27,12.00,47,76.59,0,0,1,6,0
F Campbell,GAMBI,2022-2022,5,5,0,36,18,7.20,56,64.28,0,0,1,3,0
MT Diaby,Mali,2022-2022,7,6,0,36,13,6.00,61,59.01,0,0,1,3,0
J Dunn,VAN,2019-2019,4,3,0,36,23,12.00,41,87.80,0,0,0,0,1
Ibrahim Nashath,MDV,2019-2022,12,9,3,36,20*,6.00,91,39.56,0,0,3,1,0
Imran Arif,KSA,2021-2021,4,4,0,36,22,9.00,48,75.00,0,0,0,1,3
Asif Iqbal,SKOR,2022-2022,3,3,1,36,21*,18.00,45,80.00,0,0,0,3,1
KDA Lukies,PHI,2023-2023,8,6,3,36,8*,12.00,43,83.72,0,0,0,3,0
B Maphosa,BOT,2022-2023,10,5,3,36,18,18.00,43,83.72,0,0,0,1,1
EJB Miles,JER,2019-2023,33,9,4,36,16,7.20,48,75.00,0,0,3,2,0
Mohammed Qasim,UAE,2016-2017,3,3,1,36,13*,18.00,51,70.58,0,0,0,2,0
M Mooketsi,BOT,2019-2023,34,15,3,36,7,3.00,62,58.06,0,0,4,1,0
Mohsin Hub,Peru,2019-2019,4,4,1,36,16*,12.00,41,87.80,0,0,1,2,0
PA Patel,IND,2011-2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1
D Teinaki,COK,2022-2022,4,4,0,36,16,9.00,38,94.73,0,0,0,2,3
Abdul Shakoor,UAE,2015-2019,6,4,2,35,20*,17.50,40,87.50,0,0,0,3,0
N Ahir,PNM,2021-2023,7,4,2,35,20*,17.50,74,47.29,0,0,2,4,0
Aminul Islam,BAN,2019-2021,10,7,4,35,9,11.66,41,85.36,0,0,0,4,0
STR Binny,IND,2015-2016,3,2,0,35,24,17.50,29,120.68,0,0,0,2,1
CD de Lange,SCOT,2015-2017,8,3,0,35,22,11.66,22,159.09,0,0,0,2,2
L Hermida,Mex,2019-2019,5,5,2,35,12,11.66,50,70.00,0,0,0,1,0
JC Martin,GUE,2020-2022,4,3,2,35,19*,35.00,36,97.22,0,0,0,1,1
VV Morea,PNG,2015-2017,5,5,0,35,19,7.00,44,79.54,0,0,1,4,0
CB Mpofu,ZIM,2008-2020,32,11,7,35,17*,8.75,43,81.39,0,0,3,3,1
D Murphy,SCOT,2013-2013,4,4,3,35,20,35.00,35,100.00,0,0,0,1,0
Nazakat Ali,NOR,2019-2019,2,2,0,35,25,17.50,31,112.90,0,0,0,1,3
R Ngarava,ZIM,2019-2023,34,14,7,35,11*,5.00,33,106.06,0,0,2,2,2
N Pokana,PNG,2016-2023,27,11,6,35,9,7.00,46,76.08,0,0,1,0,1
Sathya Narayanan,SUI,2022-2022,5,5,1,35,25,8.75,51,68.62,0,0,1,2,0
Sharafuddin Ashraf,AFG,2015-2022,13,8,3,35,18,7.00,40,87.50,0,0,1,2,1
Shuvagata Hom,BAN,2016-2016,5,4,2,35,16*,17.50,35,100.00,0,0,0,3,1
Waqas Haider,SWE,2022-2022,3,3,1,35,19,17.50,21,166.66,0,0,0,4,2
A Andrews,SUI,2021-2022,7,4,2,34,30*,17.00,40,85.00,0,0,1,3,0
Arafat Sunny,BAN,2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1
Hammad Azam,PAK,2012-2013,5,4,1,34,21,11.33,34,100.00,0,0,0,3,1
S Kimura,JPN,2022-2022,4,4,0,34,14,8.50,38,89.47,0,0,0,1,1
M Kpaka,SLE,2021-2022,11,8,1,34,16*,4.85,50,68.00,0,0,3,0,1
C Madande,ZIM,2022-2023,4,4,1,34,18*,11.33,36,94.44,0,0,0,4,0
SSB Magala,SA,2021-2023,6,3,2,34,18*,34.00,18,188.88,0,0,0,1,4
W McClintock,IRE,2021-2021,5,4,1,34,15*,11.33,38,89.47,0,0,0,4,0
Munim Shahriar,BAN,2022-2022,5,5,0,34,17,6.80,47,72.34,0,0,0,5,0
Nadeem Ahmed,HKG,2014-2017,24,9,4,34,10,6.80,55,61.81,0,0,1,2,0
JD Nel,SCOT,2007-2010,10,5,2,34,13*,11.33,25,136.00,0,0,1,3,1
